antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
"duration_bin=low, poutcome=success",pdays_bin=91-365d,0.0678767252788807,0.27717905086027605,0.0570996407638495,0.841225626740947,3.034953847089269,1.0,0.038285634475545643,4.552503872651944,0.7193315691199978,0.19829284307288247,0.7803406591244753,0.5236141776269537,2,1
"poutcome=success, previous_bin=2-5",pdays_bin=91-365d,0.10153148043108338,0.27717905086027605,0.08413688788050672,0.8286778398510242,2.9896842394079584,1.0,0.055994488502180334,4.219074453130779,0.7407232436726818,0.28562259306803595,0.7629811914653588,0.5661124533497959,2,1
poutcome=success,"loan=no, pdays_bin=91-365d",0.1849120816789563,0.2580828133862734,0.14237095859330687,0.7699386503067486,2.9833007483314233,1.0,0.09464832832448944,3.2248667044809998,0.8156185279757796,0.47358490566037736,0.6899096639837902,0.6607935009775501,1,2
"education=secondary, poutcome=success",pdays_bin=91-365d,0.08186802798260541,0.27717905086027605,0.06730951030440536,0.8221709006928406,2.9662086587751935,1.0,0.04461740801238428,4.064694428279226,0.721976056494456,0.23071937783538557,0.7539790462371002,0.5325042770858472,2,1
"campaign_bin=2-3, poutcome=success",pdays_bin=91-365d,0.06863301191151447,0.27717905086027605,0.05615428247305729,0.8181818181818181,2.9518169415850175,1.0,0.037130649373741685,3.9755152202684805,0.7099517300491721,0.19386422976501305,0.7484602763179796,0.5103869527471164,2,1
"housing=no, poutcome=success",pdays_bin=91-365d,0.13783323879750425,0.27717905086027605,0.11230856494611458,0.8148148148148148,2.93966954676368,1.0,0.07410407863922457,3.9032331253545083,0.765311004784689,0.37101811367895066,0.7438021332868311,0.6099994947198221,2,1
"marital=married, poutcome=success",pdays_bin=91-365d,0.1034221970126678,0.27717905086027605,0.08413688788050672,0.813528336380256,2.935028220405985,1.0,0.05547042147465098,3.876304501759109,0.7353380501281875,0.2838010204081633,0.7420223309220962,0.5585377016144117,2,1
"campaign_bin=2-3, previous_bin=2-5",pdays_bin=91-365d,0.07411608999810929,0.27717905086027605,0.06012478729438457,0.8112244897959183,2.926716457387866,1.0,0.039581359815233835,3.828997460307726,0.7110180408233507,0.2064935064935065,0.7388350317893309,0.5140706350753125,2,1
poutcome=success,"default=no, pdays_bin=91-365d",0.1849120816789563,0.2764227642276423,0.14955568160332766,0.8087934560327199,2.925929267412487,1.0,0.09844177284654299,3.784270249119605,0.8075548951451921,0.47968465736810195,0.73574825946095,0.6749165638576733,1,2
"marital=single, poutcome=success",pdays_bin=91-365d,0.06390622045755341,0.27717905086027605,0.051805634335413124,0.8106508875739645,2.9246470289077067,1.0,0.034092168804920914,3.817398137644168,0.7030047752647478,0.17908496732026147,0.7380414711950558,0.49877701268193453,2,1
"duration_bin=mid_low, poutcome=success",pdays_bin=91-365d,0.06938929854414823,0.27717905086027605,0.05615428247305729,0.8092643051771118,2.9196445498511214,1.0,0.036921022562729944,3.789646976203983,0.7065172926611366,0.19335937500000003,0.736123178153739,0.5059281962447633,2,1
poutcome=success,pdays_bin=91-365d,0.1849120816789563,0.27717905086027605,0.14955568160332766,0.8087934560327199,2.917945831485031,1.0,0.09830192631095672,3.7803149104740656,0.8064076814053721,0.4785238959467634,0.7354717732035196,0.674178446979525,1,1
"default=no, poutcome=success",pdays_bin=91-365d,0.1849120816789563,0.27717905086027605,0.14955568160332766,0.8087934560327199,2.917945831485031,1.0,0.09830192631095672,3.7803149104740656,0.8064076814053721,0.4785238959467634,0.7354717732035196,0.674178446979525,2,1
poutcome=success,"contact=cellular, pdays_bin=91-365d",0.1849120816789563,0.2548685951975799,0.13726602382302894,0.7423312883435583,2.9126039941016915,1.0,0.09013774133045319,2.8918194995903455,0.8056365515086336,0.45375000000000004,0.6541969510401117,0.6404534779996724,1,2
"contact=cellular, poutcome=success",pdays_bin=91-365d,0.17016449234259784,0.27717905086027605,0.13726602382302894,0.8066666666666668,2.910272851296044,1.0,0.09009999134538696,3.7387290472744357,0.7909876117792602,0.44268292682926835,0.7325294271514519,0.6509458844929514,2,1
"loan=no, poutcome=success",pdays_bin=91-365d,0.1765929287199849,0.27717905086027605,0.14237095859330687,0.8062098501070664,2.9086247593562575,1.0,0.09342309822206507,3.729915836997249,0.7969264922704894,0.4571948998178506,0.731897435839988,0.6599262074546246,2,1
"marital=married, previous_bin=2-5",pdays_bin=91-365d,0.11249763660427302,0.27717905086027605,0.0903762525997353,0.803361344537815,2.898347988581517,1.0,0.05919426446173865,3.675884314001159,0.7379990123597648,0.3019583070120025,0.7279566181691091,0.5647093216549921,2,1
"campaign_bin=1, poutcome=success",pdays_bin=91-365d,0.10531291359425222,0.27717905086027605,0.08413688788050672,0.7989228007181328,2.882334715551299,1.0,0.05494635444712162,3.5947434702752337,0.7299300958332937,0.2820025348542459,0.7218160326963653,0.5512349337833502,2,1
"housing=no, previous_bin=2-5",pdays_bin=91-365d,0.13027037247116657,0.27717905086027605,0.10361126867082625,0.795355587808418,2.8694650094943537,1.0,0.06750305047405367,3.5320825103352465,0.749086797841955,0.3410080896079652,0.7168809060734299,0.5845809316941135,2,1
"age_bin=31-45, poutcome=success",pdays_bin=91-365d,0.07449423331442617,0.27717905086027605,0.05899035734543392,0.7918781725888324,2.8569192734122337,1.0,0.038342116460777315,3.473066511720136,0.702289096671119,0.2015503875968992,0.7120700117243878,0.5023510917514421,2,1
"duration_bin=low, previous_bin=2-5",pdays_bin=91-365d,0.06352807714123652,0.27717905086027605,0.05010398941198714,0.7886904761904762,2.845418778015981,1.0,0.0324953372870008,3.4206737874781297,0.6925545409871661,0.17241379310344823,0.7076599342326519,0.4847272299096992,2,1
"duration_bin=mid_low, previous_bin=2-5",pdays_bin=91-365d,0.06901115522783134,0.27717905086027605,0.05426356589147287,0.7863013698630138,2.836799416920518,1.0,0.0351351193866514,3.3824313645640944,0.6954863754857811,0.185880829015544,0.7043546809326393,0.49103608738716853,2,1
previous_bin=2-5,"default=no, pdays_bin=91-365d",0.1970126678010966,0.2764227642276423,0.15447154471544716,0.7840690978886757,2.8364852658913855,1.0,0.10001275849400582,3.350966576332432,0.8063029011190561,0.48429164196799057,0.7015786409023271,0.6714463136502202,1,2
previous_bin=2-5,pdays_bin=91-365d,0.1970126678010966,0.27717905086027605,0.1546606163736056,0.7850287907869482,2.8322082363384506,1.0,0.10005283210504676,3.362408165194609,0.8056398792646959,0.4840236686390533,0.7025941078922755,0.6715048455981125,1,1
"default=no, previous_bin=2-5",pdays_bin=91-365d,0.19682359614293818,0.27717905086027605,0.15447154471544716,0.7848222862632085,2.83146321421972,1.0,0.09991616714964127,3.359181285957378,0.8053345573235415,0.4834319526627219,0.7023084153926523,0.6710605292161882,2,1
contact=unknown,"housing=yes, previous_bin=0",0.10020797882397428,0.24276800907543958,0.06882208356967291,0.6867924528301887,2.829007229765474,1.0,0.04449479205710287,2.417668404759139,0.7185206052615173,0.2510344827586207,0.5863783478199421,0.48514077470169875,1,2
contact=unknown,"housing=yes, pdays_bin=never_contacted",0.10020797882397428,0.24276800907543958,0.06882208356967291,0.6867924528301887,2.829007229765474,1.0,0.04449479205710287,2.417668404759139,0.7185206052615173,0.2510344827586207,0.5863783478199421,0.48514077470169875,1,2
contact=unknown,"housing=yes, poutcome=unknown",0.10020797882397428,0.24295708073359804,0.06882208356967291,0.6867924528301887,2.8268056677189635,1.0,0.04447584556838591,2.417064742236103,0.718214649397671,0.25086147484493454,0.5862750457090081,0.4850304676602306,1,2
previous_bin=2-5,"loan=no, pdays_bin=91-365d",0.1970126678010966,0.2580828133862734,0.14369446020041596,0.7293666026871402,2.8260952099723693,1.0,0.09284887662157366,2.741410313657813,0.8046887586283816,0.46144505160898597,0.6352242511754037,0.6430715797318485,1,2
"loan=no, previous_bin=2-5",pdays_bin=91-365d,0.18358858007184722,0.27717905086027605,0.14369446020041596,0.7826982492276005,2.823800163823178,1.0,0.09280755182731555,3.326346642723564,0.7911051656468638,0.4531902206320812,0.6993698771030026,0.6505578558552736,2,1
"contact=cellular, previous_bin=2-5",pdays_bin=91-365d,0.1807525051994706,0.27717905086027605,0.14142560030251466,0.7824267782426779,2.8228207572479698,1.0,0.0913247924707083,3.322196285469117,0.7882165349617598,0.44683393070489846,0.6989943055520595,0.6463293509221575,2,1
"education=secondary, previous_bin=2-5",pdays_bin=91-365d,0.08829646435999244,0.27717905086027605,0.06901115522783134,0.7815845824411134,2.819782303227182,1.0,0.04453722504221044,3.30938611027697,0.7078646386709315,0.23278061224489793,0.6978291542063951,0.5152806950404748,2,1
previous_bin=2-5,"contact=cellular, pdays_bin=91-365d",0.1970126678010966,0.2548685951975799,0.14142560030251466,0.7178502879078695,2.816550573252761,1.0,0.0912132584239217,2.640907904095653,0.8031954610300571,0.4555420219244824,0.6213423427416194,0.636373215170552,1,2
"education=tertiary, poutcome=success",pdays_bin=91-365d,0.0773303081868028,0.27717905086027605,0.06012478729438457,0.7775061124694377,2.8050680960783465,1.0,0.03869044586843394,3.2487227274521664,0.6974353026085164,0.20423892100192678,0.6921867195529312,0.49721144641207216,2,1
"education=tertiary, previous_bin=2-5",pdays_bin=91-365d,0.08281338627339761,0.27717905086027605,0.06371714879939497,0.769406392694064,2.7758461193444095,1.0,0.0407630129936092,3.134609660625734,0.6975128869999578,0.21506062539885126,0.680981012544835,0.49964180480542214,2,1
"housing=yes, previous_bin=2-5",pdays_bin=91-365d,0.06674229532993005,0.27717905086027605,0.05104934770277935,0.7648725212464588,2.7594889255610644,1.0,0.032549781630993105,3.074166205377378,0.6832132781079295,0.17430600387346673,0.6747085443035628,0.47452357303796333,2,1
"age_bin=31-45, previous_bin=2-5",pdays_bin=91-365d,0.0890527509926262,0.27717905086027605,0.0678767252788807,0.7622080679405521,2.749876174172974,1.0,0.04319316828224806,3.0397202414715183,0.6985555559409874,0.2275031685678073,0.6710223571377399,0.5035460530698668,2,1
"campaign_bin=1, previous_bin=2-5",pdays_bin=91-365d,0.10720363017583664,0.27717905086027605,0.08167895632444697,0.7619047619047619,2.7487819138569476,1.0,0.05196435586353251,3.03584798638684,0.7125952986022871,0.2698313554028732,0.6706027427973543,0.5282920808159552,2,1
"age_bin=46-60, education=tertiary",job=management,0.07638494989601059,0.2459822272641331,0.050293061070145584,0.6584158415841583,2.6766805427660363,1.0,0.031503720965265686,2.2074143491687694,0.6782078020024472,0.18485059068797777,0.546981290405871,0.43143697536548425,2,1
"housing=no, previous_bin=1",pdays_bin=91-365d,0.07468330497258462,0.27717905086027605,0.05539799584042352,0.7417721518987341,2.6761479613863606,1.0,0.03469734825301398,2.799159557943048,0.6768802364391306,0.1868622448979592,0.6427499114288268,0.4708178631253561,2,1
previous_bin=1,"contact=cellular, pdays_bin=91-365d",0.11022877670637171,0.2548685951975799,0.07487237663074305,0.6792452830188679,2.6650803426459886,1.0,0.04677852316124237,2.3230567326193095,0.7021768900221937,0.2579804560260586,0.5695326825391506,0.48650691450646655,1,2
"contact=cellular, previous_bin=1",pdays_bin=91-365d,0.10153148043108338,0.27717905086027605,0.07487237663074305,0.7374301675977653,2.660483053495621,1.0,0.04672997725241666,2.7528712743832027,0.6946580706050403,0.24642190416925944,0.6367429130066912,0.5037764753404924,2,1
previous_bin=1,pdays_bin=91-365d,0.11022877670637171,0.27717905086027605,0.08092266969181319,0.7341337907375644,2.648590463308989,1.0,0.050369561986851774,2.7187394409578007,0.6995513780379788,0.2640345465761875,0.6321824795215741,0.5130423387521382,1,1
"default=no, previous_bin=1",pdays_bin=91-365d,0.10947249007373795,0.27717905086027605,0.08035545471733788,0.7340241796200345,2.6481950109211203,1.0,0.0500119738233882,2.7176190230642865,0.698893967778194,0.2623456790123457,0.6320308359953865,0.5119643408332096,2,1
previous_bin=1,"loan=no, pdays_bin=91-365d",0.11022877670637171,0.2580828133862734,0.07525051994705993,0.6826758147512865,2.645181233860479,1.0,0.046802367138552195,2.3380417286259605,0.6990044784056275,0.2567741935483871,0.5722916371609464,0.487125453163189,1,2
previous_bin=1,"default=no, pdays_bin=91-365d",0.11022877670637171,0.2764227642276423,0.08035545471733788,0.7289879931389366,2.637221269296741,1.0,0.04988571156273106,2.6699084079448396,0.6977220569485763,0.2623456790123457,0.6254553163605527,0.5098428337787706,1,2
"loan=no, previous_bin=1",pdays_bin=91-365d,0.10361126867082625,0.27717905086027605,0.07525051994705993,0.7262773722627737,2.620246263231794,1.0,0.046531646838451256,2.640705867523791,0.6898307186639799,0.24628712871287126,0.6213133721940387,0.4988822059131058,2,1
poutcome=failure,"contact=cellular, pdays_bin=91-365d",0.11684628474191719,0.2548685951975799,0.07714123652864435,0.6601941747572815,2.590331595171559,1.0,0.047360788082415506,2.192815276989979,0.6951780069767148,0.26187419768934533,0.5439652347859076,0.48143239895134105,1,2
"default=no, poutcome=failure",pdays_bin=91-365d,0.11627906976744186,0.27717905086027605,0.08281338627339761,0.7121951219512195,2.56944065484311,1.0,0.050583264080342256,2.5114965181973457,0.6911800048065369,0.26658551430310407,0.6018310227569971,0.5054836455595115,2,1
"contact=cellular, poutcome=failure",pdays_bin=91-365d,0.10833806012478729,0.27717905086027605,0.07714123652864435,0.7120418848167539,2.568887809546938,1.0,0.04711219585121229,2.510160023376132,0.6849305243725989,0.2501532801961986,0.60161902401146,0.49517510339064164,2,1
poutcome=failure,pdays_bin=91-365d,0.11684628474191719,0.27717905086027605,0.0831915295897145,0.7119741100323624,2.5686432932886527,1.0,0.05080418728840034,2.5095693627435356,0.6914871255911719,0.26763990267639903,0.6015252597334986,0.5060552678401922,1,1
poutcome=failure,"default=no, pdays_bin=91-365d",0.11684628474191719,0.2764227642276423,0.08281338627339761,0.7087378640776698,2.5639634494574524,1.0,0.05051441325530668,2.4842818428184277,0.6906825266948792,0.26674786845310594,0.597469182938802,0.5041637336804218,1,2
"loan=no, poutcome=failure",pdays_bin=91-365d,0.10588012856872754,0.27717905086027605,0.07449423331442617,0.7035714285714286,2.5383282985772753,1.0,0.04514647977278227,2.4384321175797923,0.6778061276517181,0.241421568627451,0.5899004147827063,0.486164977587215,2,1
"balance_bin=mid_low, education=tertiary",job=management,0.088107392701834,0.2459822272641331,0.054641709207789754,0.6201716738197425,2.521205213553127,1.0,0.032968856512557,1.9851541361294573,0.6616615740465058,0.19553450608930992,0.49626077804228136,0.4211542458260895,2,1
"education=tertiary, marital=married",job=management,0.1726224238986576,0.2459822272641331,0.10644734354320287,0.6166484118291347,2.506881975529818,1.0,0.06398529523687776,1.9669092185938468,0.7265100126314696,0.3410054512416717,0.49158812692183884,0.5246962274364736,2,1
"job=management, marital=single",education=tertiary,0.0903762525997353,0.3773870296842503,0.08527131782945736,0.9435146443514645,2.500124726440329,1.0,0.05116449230684975,11.02255554855291,0.6596353238905115,0.22293623331685616,0.909276937131763,0.5847332740795399,2,1
"age_bin=<=30, duration_bin=low",marital=single,0.06447343543202874,0.3615050103989412,0.057855927396483264,0.8973607038123166,2.4822911937569785,1.0,0.03454845745017225,6.2207654701131645,0.6382997553642853,0.15716486902927582,0.8392480789053427,0.5287012724082504,2,1
"age_bin=<=30, housing=no",marital=single,0.14463981849120816,0.3615050103989412,0.12970315749669126,0.896732026143791,2.4805521371728614,1.0,0.07741513840892608,6.182894519554565,0.6977925311845087,0.3445504771471623,0.8382634546267428,0.627759318511226,2,1
poutcome=failure,"loan=no, pdays_bin=91-365d",0.11684628474191719,0.2580828133862734,0.07449423331442617,0.6375404530744336,2.4702941071873106,1.0,0.04433821541449859,2.0468965237825136,0.6739369280374532,0.2479546884833228,0.511455518937482,0.4630925708595611,1,2
"age_bin=31-45, education=tertiary",job=management,0.19587823785214598,0.2459822272641331,0.11816978634902628,0.6032818532818532,2.45254244581685,1.0,0.06998722112958179,1.9006384733682677,0.7365300728897249,0.36507009345794394,0.4738610135425581,0.541840772913025,2,1
"duration_bin=high, month=may",housing=yes,0.06920022688598979,0.36585365853658536,0.06144828890149367,0.8879781420765028,2.4271402550091077,1.0,0.03613113272369253,5.66091612135634,0.6317067454178973,0.16447368421052633,0.823350147120639,0.5279683992036261,2,1
"age_bin=<=30, education=tertiary",marital=single,0.0822461712989223,0.3615050103989412,0.0710909434675742,0.8643678160919539,2.391025825999134,1.0,0.0413585404568842,4.707547804685768,0.63390579386161,0.19076610857432774,0.787575178948873,0.5305102678786129,2,1
"age_bin=31-45, job=management",education=tertiary,0.13121573076195878,0.3773870296842503,0.11816978634902628,0.9005763688760807,2.3863469012953864,1.0,0.06865067146892234,6.26222320868305,0.6686924047878129,0.3026634382566586,0.8403123033664108,0.6068513106905453,2,1
"age_bin=<=30, campaign_bin=1",marital=single,0.11003970504821327,0.3615050103989412,0.09453582907922102,0.8591065292096219,2.376471983781219,1.0,0.05475592436147026,4.53175712131483,0.6508247291268323,0.25075225677031093,0.77933504086162,0.5603064026801248,2,1
"duration_bin=low, job=management",education=tertiary,0.07090187180941576,0.3773870296842503,0.06296086216676121,0.8880000000000001,2.353022044088177,1.0,0.03620341536555231,5.5590443778192,0.6188954522287857,0.16339548577036314,0.820112966899484,0.5274168336673347,2,1
"housing=no, job=management",education=tertiary,0.1644923425978446,0.3773870296842503,0.1455851767820004,0.8850574712643678,2.3452249326238688,1.0,0.08350790020319573,5.416732841747024,0.6865307130072914,0.3673664122137405,0.8153868707917526,0.6354145071752701,2,1
job=management,"contact=cellular, education=tertiary",0.2459822272641331,0.332766118358858,0.19190773303081868,0.7801691006917756,2.34449680315841,1.0,0.11005318207886665,3.0352142657871535,0.7605513585090246,0.49608993157380243,0.670533968137943,0.6784368230731606,1,2
"campaign_bin=2-3, job=management",education=tertiary,0.096237474002647,0.3773870296842503,0.08470410285498203,0.8801571709233792,2.332240118744365,1.0,0.04838532839680782,5.195245932634699,0.6320550657501495,0.2177929022848809,0.8075163307056643,0.5523030343594852,2,1
"age_bin=<=30, loan=no",marital=single,0.1960673095103044,0.3615050103989412,0.16524862923047834,0.8428158148505304,2.3314083916027486,1.0,0.09436931446706333,4.062081620958883,0.7103514081945015,0.4212048192771084,0.7538208009311387,0.6499643927809138,2,1
"contact=cellular, job=management",education=tertiary,0.21818869351484213,0.3773870296842503,0.19190773303081868,0.8795493934142115,2.3306296301441707,1.0,0.10956615007456516,5.169031422621405,0.7302675109154699,0.47540983606557374,0.8065401584475446,0.6940332137411739,2,1
age_bin=<=30,"contact=cellular, marital=single",0.21648704859141615,0.31253545093590474,0.15711854792966534,0.725764192139738,2.3221819795687075,1.0,0.08945867057636397,2.5068372887846784,0.7266893634222154,0.4224707676664971,0.6010909824606915,0.6142432575943699,1,2
"duration_bin=mid_low, job=management",education=tertiary,0.06409529211571185,0.3773870296842503,0.05615428247305729,0.8761061946902655,2.3215058435454985,1.0,0.03196555056476444,5.025376117548552,0.6082297724721967,0.14573110893032387,0.8010099191365971,0.5124518949403232,2,1
"balance_bin=mid_low, job=management",education=tertiary,0.06239364719228588,0.3773870296842503,0.054641709207789754,0.8757575757575757,2.320582073237384,1.0,0.031095156022725924,5.011275126931643,0.6069430227519641,0.14187530682376043,0.8004499903376308,0.5102735774579462,2,1
"job=management, pdays_bin=91-365d",education=tertiary,0.07430516165626773,0.3773870296842503,0.06504065040650407,0.8753180661577609,2.319417460875951,1.0,0.03699884615883714,4.993610149675301,0.6145192088463293,0.1682151589242054,0.7997440789275424,0.5238313777682592,2,1
"age_bin=<=30, contact=cellular",marital=single,0.18774815655133295,0.3615050103989412,0.15711854792966534,0.8368580060422961,2.314927821107586,1.0,0.08924664864319369,3.9137378066287125,0.6993164659930486,0.4006750241080039,0.7444897820425539,0.6357407185023196,2,1
job=management,"default=no, education=tertiary",0.2459822272641331,0.37474002647003213,0.21327283040272263,0.8670253651037664,2.3136716226204945,1.0,0.12109344404660394,4.702099569725367,0.7530148068318432,0.5234338747099768,0.7873290462757243,0.7180737319968882,1,2
"default=no, job=management",education=tertiary,0.24446965399886558,0.3773870296842503,0.21327283040272263,0.8723897911832946,2.311658119022267,1.0,0.12101315383215434,4.879021640110691,0.7510089877111154,0.5219805645534474,0.7950408762734422,0.7187600258521684,2,1
"job=management, loan=no",education=tertiary,0.22858763471355645,0.3773870296842503,0.19928152769899793,0.8717948717948718,2.3100817018652693,1.0,0.11301551921190044,4.856381168462848,0.7351643598615918,0.4900046490004649,0.7940853558831087,0.6999254920096604,2,1
job=management,education=tertiary,0.2459822272641331,0.3773870296842503,0.2144072603516733,0.8716372021521906,2.309663908909287,1.0,0.12157675824934588,4.850416014256231,0.7520201698570137,0.5242718446601943,0.793832117273895,0.7198867373486404,1,1
"age_bin=<=30, balance_bin=mid_low",marital=single,0.06938929854414823,0.3615050103989412,0.057855927396483264,0.8337874659400545,2.3064340519649313,1.0,0.032771348304705725,3.841437068583419,0.6086651103621727,0.15509376583882414,0.7396807543254215,0.49691465347211927,2,1
"job=management, poutcome=unknown",education=tertiary,0.14728682170542637,0.3773870296842503,0.1281905842314237,0.8703465982028241,2.3062440670815314,1.0,0.07260644807637909,4.8021337017422665,0.6642263341378386,0.3233190271816881,0.7917592341010437,0.6050129784601295,2,1
"job=management, previous_bin=0",education=tertiary,0.14728682170542637,0.3773870296842503,0.1281905842314237,0.8703465982028241,2.3062440670815314,1.0,0.07260644807637909,4.8021337017422665,0.6642263341378386,0.3233190271816881,0.7917592341010437,0.6050129784601295,2,1
"job=management, pdays_bin=never_contacted",education=tertiary,0.14728682170542637,0.3773870296842503,0.1281905842314237,0.8703465982028241,2.3062440670815314,1.0,0.07260644807637909,4.8021337017422665,0.6642263341378386,0.3233190271816881,0.7917592341010437,0.6050129784601295,2,1
job=management,"education=tertiary, loan=no",0.2459822272641331,0.3526186424654944,0.19928152769899793,0.8101460415065335,2.2975133584600833,1.0,0.11254360865048059,3.4098912799691976,0.7489834303670024,0.49905303030303044,0.7067355179696424,0.6876467472948218,1,2
